sent	wordix	word	FFD	GD	GPT	TRT	nFix
0	0	Presents	1.2449543439001665	0.97219058627863	-0.275638320586955	1.5455014280567303	1.1482518103487618
0	1	a	-0.712924412510899	-0.873172528972984	-0.26410596311836365	-0.8933378024096007	-0.7582794974001255
0	2	good	0.08253781500314931	0.010091943802199915	-0.05915949610511165	0.9530738551577157	1.1482518103487618
0	3	case	0.6672972501102027	0.9351867923372288	0.06967341161543741	0.5182305300059931	0.2903127218617627
0	4	while	0.9182466433140394	0.931969071124933	0.29274215465076164	0.7449437166235577	0.8622721141864289
0	5	failing	0.42108275111775917	1.1121614590134952	-0.11385582009900207	1.64138995616711	1.6248846372859838
0	6	to	-0.8999527338609282	-1.0002725168586661	-0.6225975324277178	-1.0107826662967327	-0.9489326281750142
0	7	provide	1.5172107610552719	0.9802348893093691	-0.21402258211190978	0.913677793220893	0.8622721141864289
0	8	a	-1.4302608855369603	-1.3606572926357903	-0.753407415714311	-1.1468105782672717	-1.139585758949903
0	9	reason	0.9348187730539156	1.6414765984361464	0.1573193283767317	1.2139798502487498	1.3389049411236509
0	10	for	-1.3308281070977044	-1.1724206017164889	-0.7148563921764485	-1.2635121202310675	-1.2349123243373472
0	11	us	-1.9889784024813515	-1.7403483956866892	-0.8311684546453841	-1.525904759168774	-1.616218585887125
0	12	to	-0.31756074585957134	-0.45165105016224033	-0.23280384998933	-0.7312936231222918	-0.8536060627875698
0	13	care	0.35005933794686217	0.059966622592784236	0.2993320732042424	0.22982162375151657	0.2903127218617627
0	14	beyond	0.08964015632023924	0.031007131682122397	1.0950647385370458	0.40152898804219694	0.6716189834115404
0	15	the	-1.6528009134724384	-1.511890189613691	-0.7843800329156707	-1.3519674291080845	-1.3302388897247919
0	16	very	0.2814033718816615	0.22407040441986747	-0.37679357038288486	0.04399114291744692	0.09965959108687392
0	17	basic	0.6270506493133609	0.4316134226129434	-0.08453068253601262	0.18968223989135752	0.385639287249207
0	18	dictums	0.6507251203703266	1.2312171438684378	-0.13560255132548862	0.8333990255005749	0.7669455487989846
0	19	of	-0.8975852867552315	-0.9986636562525183	-0.6792708319876524	-1.1832333525107495	-1.2349123243373472
0	20	human	0.7430555574924929	0.3350817862440711	0.24397675735500396	0.16292265065125167	0.004333025699429624
0	21	decency.	0.7028089566956511	0.2128083801768323	3.9840850323830166	-0.28530046912052465	-0.376973235850348
1	0	Beautifully	-0.07210938605911509	0.37064525221482686	-0.3096952333956794	0.4273335419755224	0.8123011900848468
1	1	crafted,	0.7347227823548999	1.2183338196136753	-0.0005649710018987957	1.5703276158833952	1.771797897836076
1	2	engaging	0.9936722958661544	0.9223952073265033	0.2945321406995572	2.2806772662602137	1.771797897836076
1	3	filmmaking	0.4975795436656455	1.0043217158127826	0.27929614851931883	0.9353309081567991	1.1721124554915578
1	4	that	-1.0343112625798832	-1.0003697877596418	-0.6384719067587145	-0.9975990701629593	-0.9867551369487068
1	5	should	0.8192220972901513	0.3137982871427147	0.07280835976082728	-0.09844373202209927	-0.14719551766638164
1	6	attract	0.14595336216088878	0.1616490570967674	-0.3598136287254104	-0.30333600304854763	-0.14719551766638164
1	7	upscale	1.1490420039729075	0.8304368814745572	-0.19943476367027124	0.30372084953807826	0.09267865927142563
1	8	audiences	0.8273994503484017	1.3621232018548999	0.4284484930205981	0.9437975309264873	0.6923641016159434
1	9	hungry	1.5551838725326654	0.5946891733813865	-0.10922165207675547	0.6813322250661609	0.5724270131470399
1	10	for	-1.560387642660643	-1.4584894474584276	-0.6601230535411583	-1.0941185697374018	-1.1066922254176104
1	11	quality	0.74835170411865	0.3572694957272712	-0.05389094363273255	-0.1069103547917872	-0.2671326061352854
1	12	and	-1.6530643106541445	-1.5153364125305397	-0.7619636328511715	-1.3337239941195707	-1.466503490824321
1	13	a	-1.6094517610101438	-1.488584899555428	-0.755548478248966	-1.3201773976880702	-1.3465664023554176
1	14	nostalgic,	0.6720297422416486	1.6212784838012935	0.36630168281173187	1.1461498151220288	1.2920495439604613
1	15	twisty	0.8355768034066521	0.2201679917298241	-0.3457804780330857	-0.0992903942990681	-0.027258429197478146
1	16	yarn	-1.137891067984385	-1.1993341655120342	-0.6861846191126183	-1.2651443496850983	-1.466503490824321
1	17	that	-0.6799592967223766	-0.02895547285090228	0.06158183920696761	-0.03494406124943972	0.21261574774032913
1	18	will	-0.7481039055411277	-0.9602425182969744	-0.33655869329241517	-0.8570531321861394	-0.8668180484798033
1	19	keep	-0.5245895886156235	-0.8231410142995275	-0.3962998205254544	-0.6089810850342825	-0.5070067830730924
1	20	them	-0.6772335123696265	-0.916771309712418	-0.057098520933835294	-0.7757735535971351	-0.6269438715419962
1	21	guessing.	0.7183680762383995	0.41411646079938336	4.167681731781165	0.606825944692907	0.5724270131470399
2	0	Bread,	1.7106586136481745	1.649376703935027	-0.2637161040882971	0.7674418571716601	0.007705145097364669
2	1	My	0.3168595417557615	0.10985515106528236	0.18030892921908717	0.9836226620087476	0.6241167528865207
2	2	Sweet	0.49453063223875016	0.33049511596931985	0.5657812108815417	2.234228617991298	2.59663389781182
2	3	has	-0.16714101507720808	0.41230544003486186	-0.46661765319121357	-0.18159187606315352	-0.2388594980182978
